rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,243406982,Derek Lunsford,https://cn.noxinfluencer.com/instagram/channel/243406982,0,badcase,健身增肌频道，缺少婴儿营养和母婴受众
4,315965120,Robert Wilmote,https://cn.noxinfluencer.com/instagram/channel/315965120,0,badcase,拳击训练频道与婴儿补充剂无关
5,186282576,Katriona Aromin,https://cn.noxinfluencer.com/instagram/channel/186282576,0,badcase,健身增肌受众不匹配婴儿补充剂
12,1446209614,"Ashly Locklin | Weight Loss, Beauty, & Business",https://cn.noxinfluencer.com/instagram/channel/1446209614,0,badcase,母婴补充剂关联弱，内容重心在商业和美容
13,3436108899,Cortney Campbell | anti-cancer living 🌱,https://cn.noxinfluencer.com/instagram/channel/3436108899,-15,badcase,抗癌频道与婴儿补充剂受众明显不符
16,674784050,Cole Munoz | Online Fitness Coach,https://cn.noxinfluencer.com/instagram/channel/674784050,0,badcase,纯健身教练频道，缺少母婴和婴儿营养信号
26,265390149,STEPHANIE DECATOR,https://cn.noxinfluencer.com/instagram/channel/265390149,2,badcase,母亲泛标签，但减重/生活向，缺少婴儿补剂语境
28,441308933,Amanda,https://cn.noxinfluencer.com/instagram/channel/441308933,0,badcase,健身体育为主，与婴儿补剂推广无关
29,4276936859,Helping Hands Healing Sanctuary 501c3,https://cn.noxinfluencer.com/instagram/channel/4276936859,-15,badcase,马/动物主题占主导，属人类婴儿补剂互斥场景
31,60860444597,Gina | Impactful Marketing & Consultancy,https://cn.noxinfluencer.com/instagram/channel/60860444597,1,badcase,减重为主，只有母亲泛标签
34,41066493513,Olayinka Aiyelabowo,https://cn.noxinfluencer.com/instagram/channel/41066493513,0,badcase,商业与美发为主，相关性弱
38,50422893639,Ali Olson,https://cn.noxinfluencer.com/instagram/channel/50422893639,0,badcase,政治/产品泛商业号，与婴儿补剂无关
47,18023689,Gessie Thompson - Fibroids | Fertility | DeTox | Advocacy,https://cn.noxinfluencer.com/instagram/channel/18023689,0,badcase,纤维瘤/排毒为主，与婴儿补剂无关
49,64724238829,"Jordan Harpst RN, BSN |  Cortisol + Natural Weight Loss",https://cn.noxinfluencer.com/instagram/channel/64724238829,0,badcase,皮质醇与减脂主题，和婴儿补剂无关
51,3400954033,Fera Pets,https://cn.noxinfluencer.com/instagram/channel/3400954033,-15,badcase,宠物频道，和人类婴儿补充剂受众互斥
57,8227649270,Dr. Kalea Wattles | Fertility | TTC,https://cn.noxinfluencer.com/instagram/channel/8227649270,0,badcase,备孕向，和婴儿补充剂关联弱
59,10868992,"Jessica Cahoy, RN | Fitness & Weightloss Coach",https://cn.noxinfluencer.com/instagram/channel/10868992,0,badcase,健身减脂为主，婴儿补充剂相关性弱
67,16824108302,Rebecca Rumsey,https://cn.noxinfluencer.com/instagram/channel/16824108302,0,badcase,无可用标签或内容证据
73,65961538373,Lindsay Dudley | Cortisol + Metabolism Coach,https://cn.noxinfluencer.com/instagram/channel/65961538373,0,badcase,更偏身心健康，和婴儿补充剂不匹配
75,39054944660,MamaC ♥︎,https://cn.noxinfluencer.com/instagram/channel/39054944660,0,badcase,商业营销向，和婴儿补充剂关联弱
85,238816489,Josh & Jeanne | Fix Your Nervous System,https://cn.noxinfluencer.com/instagram/channel/238816489,0,badcase,泛营养健康号，缺少婴儿受众
88,437462479,The Estrogen Free®Lifestyle,https://cn.noxinfluencer.com/instagram/channel/437462479,0,badcase,荷尔蒙/医美类，和婴儿补充剂无关
95,250400355,Dr Shannyn Pearce,https://cn.noxinfluencer.com/instagram/channel/250400355,0,badcase,健康食品泛号，婴儿定向不足
98,322067998,"Kelly LeVeque, CCN",https://cn.noxinfluencer.com/instagram/channel/322067998,0,badcase,饮食播客号，婴儿补充剂相关性低
