keyword,sort_label,sort_name,rank,channel_name,channel_url,channel_id,country,followers,estimate_video_views,tags,latest_videos,judgment,badcase_type,note
"marathon","default","默认排序","1","kofuzi","https://cn--pb.noxinfluencer.com/youtube/channel/UCe43pe3w4L6w3tNMRkWiJBA","UCe43pe3w4L6w3tNMRkWiJBA","US","235000","27582","fashion | shoes | best running shoes | running shoes | sports | hobby | running | entertainment | marathon | lifestyle","New Balance 1080v15 || Skechers Running Aero Razor","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","2","Lambros","https://cn--pb.noxinfluencer.com/youtube/channel/UC3YKp98Xf8xYJi0GBsRR_og","UC3YKp98Xf8xYJi0GBsRR_og","AU","201000","393051","running | health | sports | marathon | cancer | fitness | food | cancerawareness | runacrossuk | fyp","50km Ultra Marathon🚀 || 21km Frankston Half Marathon🚀","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","3","HellahGood","https://cn--pb.noxinfluencer.com/youtube/channel/UCXVX_0ukCPMLPWk64KYnHFA","UCXVX_0ukCPMLPWk64KYnHFA","US","295000","5810","running | sports | runstreak | shoes | runner | run | running tips | hoka | run streak | marathon","the king and queen of the run across America || run streak day 3239","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","4","Phily Bowden","https://cn--pb.noxinfluencer.com/youtube/channel/UCzCCsm1ry8no4j-gS6TgySQ","UCzCCsm1ry8no4j-gS6TgySQ","UK","198000","93811","sports | marathon training | marathon | health | how to run faster | running training | half marathon | philly bowden | marathontraining | phily bowden","Painful Update 😩 || From 5K to Marathon: One Workout That Does It All","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","5","Abbott World Marathon Majors","https://cn--pb.noxinfluencer.com/youtube/channel/UCuJvEuTBGn-iLucuhFdEjwQ","UCuJvEuTBGn-iLucuhFdEjwQ","OTHERS","12300","14725","Sports | Fitness | Life Style","Marathon Talk EP86 | How To Get Into Every Major || Running the Boston Marathon? Course tips including how to conquer the Newton Hills!","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","6","The Fashion Jogger","https://cn--pb.noxinfluencer.com/youtube/channel/UC6khvHxqs_5VySwJ6amtG8Q","UC6khvHxqs_5VySwJ6amtG8Q","US","1620000","206960","sports | running | runningtips | sport | tips | motivation | running tips | health | fitness | marathon","DON’T LET ANYONE STOP YOU 💪 SAVE and remember it #motivation #inspiration #running || HOW TO RUN 25 KM 😂 I’m so lucky that this is the SURPRISE I found in my EASTER EGG 😅 #running","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","7","Ran To Japan","https://cn--pb.noxinfluencer.com/youtube/channel/UCIq1gMax9m-25lMGU8a4nsg","UCIq1gMax9m-25lMGU8a4nsg","UK","123000","74830","funny | sports | running | japan | fitness | challenge | entertainment | music | reaction | marathon","I Was Forced to STOP Running… || Olympic Dream ➡️ Paralympics?! #running #marathon #shorts","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","8","Ben Parkes","https://cn--pb.noxinfluencer.com/youtube/channel/UCZPqG0yh_xPm2AyLjffbDvw","UCZPqG0yh_xPm2AyLjffbDvw","UK","332000","116847","running | gettingitdone | benparkes | sports | shoes | fashion | health | hobby | lifestyle | marathon","How To Make Your Long Runs Feel Easier || I Bought The Adidas Hyperboost Edge - my 100% honest review","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","9","Beer Runners ","https://cn--pb.noxinfluencer.com/youtube/channel/UCG2kke0O3GtKAVYWuHYG2qQ","UCG2kke0O3GtKAVYWuHYG2qQ","MX","31500","2196","sports | training | running | marathon | correr | run | maraton | entrenamiento | how to run | como correr","La SPIDER-RUN del 2026 estuvo INCREIBLE || Sobreviviendo a JAMÉ: El entrenamiento más duro para el 21K Coahuila","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","10","Runner's World","https://cn--pb.noxinfluencer.com/youtube/channel/UCx2Xqm8S3Ghqn5puhSKWH4Q","UCx2Xqm8S3Ghqn5puhSKWH4Q","US","97200","823","sports | runner | runnersworld | running | runners | runners world | runner's world | run | runner's world magazine | marathon","If You Can Run 3 Miles, You’re Ready to Tackle Marathon Training.  #marathon #5k #marathontraining || The First Step to Running a Marathon Might Be Running a 5K First. #marathon #5k #marathontraining","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","11","Film My Run","https://cn--pb.noxinfluencer.com/youtube/channel/UCjphxoB7x0A_VhB1CUz3AwA","UCjphxoB7x0A_VhB1CUz3AwA","UK","60700","3174","running | filmmyrun | runningvideos | runningfilms | film | sports | marathon | trail running | family | worthing harriers","Making Marks | Official Film Trailer || Making Marks | The Story of the Fastest Trail 100 in UK History","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","12","Pitufollow","https://cn--pb.noxinfluencer.com/youtube/channel/UCeVGTUftSap_GVuZREvr-8A","UCeVGTUftSap_GVuZREvr-8A","ES","170000","55480","running | correr | trail | sports | atletismo | maraton | exercise | atl | caminodesantiago | marathon","MARATÓN DE BARCELONA 2026 | A VECES TOCA ARRIESGAR || Voy a CORRER 500KM de Los Ángeles a Las Vegas🔥 #shorts #correr #thespeedproject","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","13","Tinman Elite","https://cn--pb.noxinfluencer.com/youtube/channel/UCTxG34nhYtkLW8jh2Su9Y7w","UCTxG34nhYtkLW8jh2Su9Y7w","US","69700","0","sports | racing | adidas | long run | running | sam parsons | tinman elite | drew hunter | track and field | marathon","Journey to World Marathon Championships | Calm Before the Storm || 2025 Adidas Shoe Lineup","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","14","Floberg Runs","https://cn--pb.noxinfluencer.com/youtube/channel/UCSE6bU26riJK7_tYmhubh7w","UCSE6bU26riJK7_tYmhubh7w","OTHERS","67900","25627","sports | marathon | health | marathon training | floberg runs | eric floberg | chicago marathon | how to train for a marathon | sub 3 marathon | sub 3 ","SUB 2:30 [Attempt 3] - Am I Fit Enough? - BOSTON MARATHON 2026 || Humbled by the 8K - Chicago Shamrock Shuffle 2026","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","15","Runtrip Channel","https://cn--pb.noxinfluencer.com/youtube/channel/UCtoF5V1HscNaPCb8i_VLM4Q","UCtoF5V1HscNaPCb8i_VLM4Q","JP","108000","11335","running | fashion | runtrip | ラントリップ | フルマラソン | サブ4 | サブ3 | ハーフマラソン | ランニングアイテム | marathon","【大濠公園】ランナーインタビュー｜今、履いているシューズを教えてください！ || 【KIPRUN】KIPSTORM TEMPO｜快適性と反発性が融合した、実力派トレーニングシューズの性能とは！？","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","16","StrengthRunning","https://cn--pb.noxinfluencer.com/youtube/channel/UCfQ5RfEdt03mGXYn_V1hCNw","UCfQ5RfEdt03mGXYn_V1hCNw","US","109000","1460","sports | health | running | marathon | running tips | cross country running | track & field | 10k | 5k | half marathon","Secret Running Habits of FAST Runners (How to Think Like the Best) || 5 Proven Ways to ACTUALLY Get Running Results (in 6 Months)","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","17","Matthew Choi","https://cn--pb.noxinfluencer.com/youtube/channel/UCXSSvV5QYzdOIzzOpP5xnzA","UCXSSvV5QYzdOIzzOpP5xnzA","OTHERS","307000","54804","health | sports | running | runners | marathon | fitness | lifestyle | food | runner | fashion","Fail to Succeed | Ironman Galveston 70.3 || I got stuck with a flat bike tire in Texas","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","18","러너임바 Runner Imba","https://cn--pb.noxinfluencer.com/youtube/channel/UC9nsYqPt7Yrs1xmTYqzgsxw","UC9nsYqPt7Yrs1xmTYqzgsxw","KR","61600","32729","러닝 | 러너임바 | 마라톤 | 달리기 | 조깅 | 마라톤대회 | sports | health | motivation | marathon","10km 뛸 때마다 기록 재는 당신에게. 매번 빨라질 수는 없습니다. || 조깅 90분 #마라톤 #달리기","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","19","Mica Rivera Wood","https://cn--pb.noxinfluencer.com/youtube/channel/UCKv8bGnFm0eaXkoxtxzUWYg","UCKv8bGnFm0eaXkoxtxzUWYg","OTHERS","68400","177709","runner | athletics | sports | running | track | run | training | fitness | marathon | workout","fatigued mile reps for my first wo of the week ! trying to get used to running fast on tired legs !! || Testing My Fitness… Am I On Track? (first race back from injury)","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","20","Floris Gierman","https://cn--pb.noxinfluencer.com/youtube/channel/UCyhJtQYs3Eta6NlaNNvstbQ","UCyhJtQYs3Eta6NlaNNvstbQ","US","114000","14265","health | sports | marathontraining | maftraining | running | marathon | training | marathon training | maffetone | floris gierman","How to Become Mentally Unbreakable on the Run  | Kerry Ward || You’re Doing Zone 2 Wrong (Even If You Think You’re Not) | Scott Johnston Round 2","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
"marathon","default","默认排序","21","낭만러너 심진석","https://cn--pb.noxinfluencer.com/youtube/channel/UCDo1OpynPXspUbcqlgpS8pw","UCDo1OpynPXspUbcqlgpS8pw","KR","239000","141943","심진석 | 낭만러너 | 마라톤 | 러닝 | sports | running | 런닝 | 션과함께 | 기안84 | marathon","낭만러너, 케냐 마라톤 대회 출전 결과 (ft. 케냐 하드털이) || 해발 2,500m에서 무한 업힐 지옥🔥눈물의 지옥 훈련ㅣ낭만케냐 3화","fit","","频道标签与最近内容都集中在跑步/马拉松主题。"
